alpha,N,m,T_over_tau,nsubs,R,meanV,varV,edf,edf_se,meanW,B,B_se
1,1024,4,2.557500e+02,1009,3000,1.2144109555e-02,9.1523499697e-07,322.276568,8.156342,1.2128816058e-02,1.001261,0.000382
1,1024,8,1.278750e+02,993,3000,2.7972076205e-03,1.0451417477e-07,149.728407,3.787916,2.8188304269e-03,0.992329,0.000539
1,1024,16,6.393750e+01,961,3000,6.8141106414e-04,1.2819637327e-08,72.439029,1.856824,6.8882338088e-04,0.989239,0.000812
1,1024,32,3.196875e+01,897,3000,1.6926107874e-04,1.6737902947e-09,34.232858,0.963467,1.7137915710e-04,0.987641,0.001202
1,1024,64,1.598438e+01,769,3000,4.1883255923e-05,2.2216404113e-10,15.791999,0.442888,4.2322225578e-05,0.989628,0.001848
1,1024,128,7.992188e+00,513,3000,1.0462160558e-05,3.4261554388e-11,6.389483,0.243613,1.0724750894e-05,0.975515,0.003362
1,2048,1,2.047000e+03,2045,3000,2.6157769471e-01,1.2975426880e-04,1054.653400,27.305410,3.8499319824e-01,0.679435,0.000078
1,2048,2,1.023500e+03,2041,3000,5.9801531593e-02,6.0220907875e-06,1187.701517,30.742422,5.8423178156e-02,1.023593,0.000232
1,2048,4,5.117500e+02,2033,3000,1.2152187902e-02,4.6937497942e-07,629.243898,16.390292,1.2133606163e-02,1.001531,0.000272
1,2048,8,2.558750e+02,2017,3000,2.8022591701e-03,5.3086211590e-08,295.845427,7.592191,2.8240676152e-03,0.992278,0.000401
1,2048,16,1.279375e+02,1985,3000,6.8268985337e-04,6.5422690722e-09,142.478223,3.739769,6.9066915690e-04,0.988447,0.000568
1,2048,32,6.396875e+01,1921,3000,1.6902260439e-04,7.9447743031e-10,71.918068,1.966318,1.7098004704e-04,0.988552,0.000782
1,2048,64,3.198438e+01,1793,3000,4.2339623143e-05,9.7095860538e-11,36.925234,1.009212,4.2850341606e-05,0.988081,0.001177
1,2048,128,1.599219e+01,1537,3000,1.0657789546e-05,1.4098497288e-11,16.113558,0.572551,1.0793249112e-05,0.987450,0.001832
1,2048,256,7.996094e+00,1025,3000,2.6296253790e-06,2.2733717861e-12,6.083413,0.213145,2.6944851914e-06,0.975929,0.003263
1,4096,1,4.095000e+03,4093,3000,2.6166396335e-01,6.4648504641e-05,2118.162828,56.718009,3.8506990749e-01,0.679523,0.000058
1,4096,2,2.047500e+03,4089,3000,5.9866346549e-02,2.9906360616e-06,2396.800798,62.944697,5.8500454967e-02,1.023348,0.000153
1,4096,4,1.023750e+03,4081,3000,1.2150259496e-02,2.2600199975e-07,1306.438049,34.258138,1.2127397018e-02,1.001885,0.000188
1,4096,8,5.118750e+02,4065,3000,2.8028517538e-03,2.4162093436e-08,650.272955,16.536411,2.8244995278e-03,0.992336,0.000258
1,4096,16,2.559375e+02,4033,3000,6.8225255678e-04,3.1074232413e-09,299.584907,7.907897,6.9028962448e-04,0.988357,0.000386
1,4096,32,1.279688e+02,3969,3000,1.6889969657e-04,3.9714872834e-10,143.659569,3.860780,1.7105143717e-04,0.987421,0.000562
1,4096,64,6.398438e+01,3841,3000,4.2156940848e-05,5.2478038517e-11,67.731482,1.833682,4.2748851396e-05,0.986154,0.000775
1,4096,128,3.199219e+01,3585,3000,1.0465622512e-05,6.5994862633e-12,33.193267,0.895315,1.0602708535e-05,0.987071,0.001193
1,4096,256,1.599609e+01,3073,3000,2.6041635247e-06,8.9417007682e-13,15.168630,0.454619,2.6312836902e-06,0.989693,0.001859
1,4096,512,7.998047e+00,2049,3000,6.5889511677e-07,1.4151473449e-13,6.135655,0.278161,6.7967947693e-07,0.969420,0.003400
1,8192,1,8.191000e+03,8189,3000,2.6177257443e-01,3.4086756144e-05,4020.616126,107.776846,3.8525291695e-01,0.679482,0.000040
1,8192,2,4.095500e+03,8185,3000,5.9868474293e-02,1.4812448211e-06,4839.489277,119.432388,5.8496904767e-02,1.023447,0.000110
1,8192,4,2.047750e+03,8177,3000,1.2152076346e-02,1.1107712149e-07,2658.926655,69.054663,1.2128064164e-02,1.001980,0.000134
1,8192,8,1.023875e+03,8161,3000,2.8020566389e-03,1.1905365947e-08,1318.988672,33.589772,2.8238400966e-03,0.992286,0.000186
1,8192,16,5.119375e+02,8129,3000,6.8202488633e-04,1.4937168618e-09,622.819434,15.306048,6.8987283442e-04,0.988624,0.000267
1,8192,32,2.559688e+02,8065,3000,1.6907740671e-04,1.8474744409e-10,309.472963,7.816850,1.7112460350e-04,0.988037,0.000376
1,8192,64,1.279844e+02,7937,3000,4.2325101990e-05,2.4249862683e-11,147.746342,3.846892,4.2914099109e-05,0.986275,0.000541
1,8192,128,6.399219e+01,7681,3000,1.0569465378e-05,3.1552842844e-12,70.810481,1.800806,1.0702207731e-05,0.987597,0.000785
1,8192,256,3.199609e+01,7169,3000,2.6533402278e-06,4.1295667372e-13,34.096625,0.935144,2.6899343281e-06,0.986396,0.001154
1,8192,512,1.599805e+01,6145,3000,6.6266238110e-07,5.6104586607e-14,15.653673,0.412056,6.7256974456e-07,0.985269,0.001811
1,8192,1024,7.999023e+00,4097,3000,1.6352468466e-07,9.1265353612e-15,5.859907,0.216003,1.6839120025e-07,0.971100,0.003332
1,16384,1,1.638300e+04,16381,3000,2.6166100382e-01,1.6093571899e-05,8508.550041,212.868963,3.8507785271e-01,0.679502,0.000027
1,16384,2,8.191500e+03,16377,3000,5.9879593743e-02,7.5073306382e-07,9552.172189,246.786134,5.8514564397e-02,1.023328,0.000080
1,16384,4,4.095750e+03,16369,3000,1.2163539020e-02,5.7511593477e-08,5145.108057,132.459014,1.2142239975e-02,1.001754,0.000092
1,16384,8,2.047875e+03,16353,3000,2.8038413942e-03,6.3601878355e-09,2472.105154,62.361727,2.8251817949e-03,0.992446,0.000129
1,16384,16,1.023938e+03,16321,3000,6.8288130593e-04,7.8757262029e-10,1184.213026,29.098494,6.9075214309e-04,0.988605,0.000185
1,16384,32,5.119688e+02,16257,3000,1.6939307003e-04,9.4068202079e-11,610.068260,15.546004,1.7162195244e-04,0.987013,0.000267
1,16384,64,2.559844e+02,16129,3000,4.2137549571e-05,1.2028952253e-11,295.216582,7.901986,4.2660404080e-05,0.987744,0.000387
1,16384,128,1.279922e+02,15873,3000,1.0543514482e-05,1.4843673970e-12,149.781918,3.747968,1.0679743806e-05,0.987244,0.000538
